Price,Close,High,Low,Open,Volume
Ticker,FLUT,FLUT,FLUT,FLUT,FLUT
Date,,,,,
2024-05-24,204.11000061035156,205.32000732421875,200.8699951171875,202.11000061035156,677900
2024-05-28,188.3300018310547,195.11000061035156,187.8800048828125,195.0,1395100
2024-05-29,185.8000030517578,187.25999450683594,183.75999450683594,186.30999755859375,1308500
2024-05-30,187.89999389648438,192.75,186.92999267578125,187.86000061035156,2287500
2024-05-31,192.08999633789062,192.5,188.4199981689453,188.47999572753906,2254100
2024-06-03,189.13999938964844,191.48500061035156,187.77999877929688,190.7899932861328,1068800
2024-06-04,191.6999969482422,192.39999389648438,189.92999267578125,190.5500030517578,1183400
2024-06-05,186.50999450683594,191.1999969482422,186.22000122070312,191.1999969482422,2117000
2024-06-06,190.52999877929688,191.74000549316406,188.13999938964844,188.25,3837400
2024-06-07,191.5500030517578,192.02000427246094,187.80999755859375,187.99000549316406,1038600
2024-06-10,186.8300018310547,189.19000244140625,186.60000610351562,189.19000244140625,876500
2024-06-11,183.14999389648438,186.1199951171875,182.00999450683594,185.72000122070312,2128800
2024-06-12,181.8300018310547,187.85000610351562,181.7050018310547,187.80999755859375,1322100
2024-06-13,178.5800018310547,183.17999267578125,178.1300048828125,182.64999389648438,1032800
2024-06-14,177.9600067138672,178.4949951171875,174.02999877929688,176.02999877929688,1159400
2024-06-17,188.80999755859375,189.91000366210938,178.8300018310547,179.8000030517578,2749800
2024-06-18,184.77000427246094,186.5500030517578,182.13999938964844,185.0500030517578,1188400
2024-06-20,190.39999389648438,191.0500030517578,185.5330047607422,186.10000610351562,1039300
2024-06-21,189.02999877929688,191.18499755859375,188.8249969482422,189.47000122070312,1728600
2024-06-24,187.30999755859375,187.6699981689453,185.1699981689453,185.77999877929688,1341400
2024-06-25,186.0500030517578,188.72999572753906,185.38999938964844,188.02999877929688,648100
2024-06-26,181.00999450683594,183.61000061035156,180.7899932861328,183.17999267578125,762900
2024-06-27,182.80999755859375,185.2899932861328,182.41000366210938,183.11000061035156,475900
2024-06-28,182.36000061035156,184.8300018310547,181.0399932861328,183.69000244140625,3251000
2024-07-01,186.30999755859375,187.0,183.52000427246094,186.3300018310547,1031500
2024-07-02,190.3800048828125,191.24000549316406,186.66000366210938,186.88999938964844,2316200
2024-07-03,193.9199981689453,194.97000122070312,191.97000122070312,192.9600067138672,479400
2024-07-05,195.16000366210938,198.7100067138672,193.94000244140625,198.42999267578125,956700
2024-07-08,197.4499969482422,200.99000549316406,197.2100067138672,199.5500030517578,986100
2024-07-09,198.92999267578125,199.75,196.9199981689453,197.5500030517578,524500
2024-07-10,198.47999572753906,201.4499969482422,198.1999969482422,200.9600067138672,849500
2024-07-11,203.47000122070312,203.77999877929688,200.10000610351562,200.88999938964844,1441800
2024-07-12,207.22999572753906,209.17999267578125,203.39999389648438,203.41000366210938,2322200
2024-07-15,207.2100067138672,208.58999633789062,205.07000732421875,205.6199951171875,1793200
2024-07-16,207.9499969482422,209.13999938964844,205.10000610351562,206.05999755859375,2158800
